year,position,fa_rank,werth,player_name,pa_ip,method
2022,ALL_HIT_depth,1,-4.720703937443787,Nick Castellanos,558.0,roster_depth
2022,ALL_HIT_depth,2,-4.7544248278373225,Isiah Kiner-Falefa,531.0,roster_depth
2022,ALL_HIT_depth,4,-4.878736355633922,Lane Thomas,548.0,roster_depth
2022,ALL_HIT_depth,8,-5.142352403829562,Daniel Vogelbach,461.0,roster_depth
2022,ALL_HIT_depth,16,-5.606868126149365,Tyler O'Neill,383.0,roster_depth
2022,SP_depth,1,-1.9831946911123857,Marcus Stroman,138.2,roster_depth
2022,SP_depth,2,-2.0434492104197455,Jose Urquidy,164.1,roster_depth
2022,SP_depth,4,-2.1807310810471168,Jose Quintana,165.2,roster_depth
2022,SP_depth,8,-2.3104109067265717,Taijuan Walker,157.1,roster_depth
2022,SP_depth,16,-2.7274431803619144,Alex Cobb,149.2,roster_depth
2022,RP_depth,1,-1.5005245787192565,Trevor Stephan,63.2,roster_depth
2022,RP_depth,2,-1.531060245231991,Brock Burke,82.1,roster_depth
2022,RP_depth,4,-1.573648498702692,Garrett Whitlock,78.1,roster_depth
2022,RP_depth,8,-1.7331370204709697,Reynaldo Lopez,65.1,roster_depth
2022,RP_depth,16,-1.8923679016435386,Dylan Lee,50.2,roster_depth
2023,ALL_HIT_depth,1,-4.666244130124104,Jose Abreu,594.0,roster_depth
2023,ALL_HIT_depth,2,-4.6845948794945045,Anthony Volpe,601.0,roster_depth
2023,ALL_HIT_depth,4,-4.854535302165935,Ryan Mountcastle,470.0,roster_depth
2023,ALL_HIT_depth,8,-4.985907000966984,Jeremy Pena,634.0,roster_depth
2023,ALL_HIT_depth,16,-5.380887404838753,Daulton Varsho,581.0,roster_depth
2023,SP_depth,1,-1.8697100109235465,Kyle Hendricks,137.0,roster_depth
2023,SP_depth,2,-1.94187745263239,Kenta Maeda,104.1,roster_depth
2023,SP_depth,4,-2.0192650609663594,Griffin Canning,127.0,roster_depth
2023,SP_depth,8,-2.1709939505962423,Reese Olson,103.2,roster_depth
2023,SP_depth,16,-2.729947639293967,Jon Gray,157.1,roster_depth
2023,RP_depth,1,-1.1290121646932165,Mark Leiter Jr.,64.1,roster_depth
2023,RP_depth,2,-1.1952445162961738,Matt Brash,70.2,roster_depth
2023,RP_depth,4,-1.2865076140286151,Tyler Rogers,74.0,roster_depth
2023,RP_depth,8,-1.4108599958910408,David Robertson,65.1,roster_depth
2023,RP_depth,16,-1.611694864217475,Gabe Speier,54.2,roster_depth
2024,ALL_HIT_depth,1,-4.642762962136948,Nolan Schanuel,607.0,roster_depth
2024,ALL_HIT_depth,2,-4.6542408680753375,Andrew Vaughn,619.0,roster_depth
2024,ALL_HIT_depth,4,-4.683026836443493,Daulton Varsho,513.0,roster_depth
2024,ALL_HIT_depth,8,-5.107335062374101,Andrew McCutchen,515.0,roster_depth
2024,ALL_HIT_depth,16,-5.5851028305623975,Carlos Correa,367.0,roster_depth
2024,SP_depth,1,-1.6307855135460132,Ryan Pepiot,130.0,roster_depth
2024,SP_depth,2,-1.7547643104057995,Luis Gil,151.2,roster_depth
2024,SP_depth,4,-1.8196407080901453,Brady Singer,179.2,roster_depth
2024,SP_depth,8,-2.0572489939811827,Jared Jones,121.2,roster_depth
2024,SP_depth,16,-2.4611408131093184,Shane Baz,79.1,roster_depth
2024,RP_depth,1,-1.02129477038145,Tyson Miller,62.0,roster_depth
2024,RP_depth,2,-1.1071411717929383,Keegan Akin,78.2,roster_depth
2024,RP_depth,4,-1.3707228620973697,Jeremiah Estrada,61.0,roster_depth
2024,RP_depth,8,-1.5268047318220983,Edwin Diaz,53.2,roster_depth
2024,RP_depth,16,-1.8237968765523136,Dylan Lee,59.2,roster_depth
2025,ALL_HIT_depth,1,-4.694095180313912,Harrison Bader,501.0,roster_depth
2025,ALL_HIT_depth,2,-4.787324276701429,Anthony Volpe,596.0,roster_depth
2025,ALL_HIT_depth,4,-4.808716129303089,Lourdes Gurriel Jr.,546.0,roster_depth
2025,ALL_HIT_depth,8,-5.121446660476275,Cedric Mullins,498.0,roster_depth
2025,ALL_HIT_depth,16,-5.382898896049147,Max Muncy,388.0,roster_depth
2025,SP_depth,1,-2.1034405656773862,Quinn Priester,157.1,roster_depth
2025,SP_depth,2,-2.1187675110959123,Shohei Ohtani,47.0,roster_depth
2025,SP_depth,4,-2.1914898025809224,Chris Bassitt,170.1,roster_depth
2025,SP_depth,8,-2.2594284892677443,Jeffrey Springs,171.0,roster_depth
2025,SP_depth,16,-2.444174663143522,Chad Patrick,119.2,roster_depth
2025,RP_depth,1,-0.970921149776276,Steven Okert,71.2,roster_depth
2025,RP_depth,2,-1.1040520205968933,Kenley Jansen,59.0,roster_depth
2025,RP_depth,4,-1.1124865974591298,Jason Adam,65.1,roster_depth
2025,RP_depth,8,-1.3790479094997232,Bryan Baker,68.2,roster_depth
2025,RP_depth,16,-1.570886971201067,Eduard Bazardo,78.2,roster_depth
